name,gender,age,likeable,creative,emotionally balanced,extrovert,no-coherence,narcissus,temperamental,reliable,fitness_trust,other_trust,follow,reasons,category
demibagby,Γυναίκα,25,5,4,4,4,2,2,2,4,4,4,Ναι,έχει ωραίο lifestyle,body_building
Yarishna,Γυναίκα,25,1,1,1,5,3,5,4,3,1,1,Όχι,Ίου. Τίποτα.,body_building
Stevecook,Γυναίκα,25,5,5,3,5,5,3,3,3,5,5,Ναι,έχει ωραίο lifestyle,body_building
jimmy_lewin,Γυναίκα,25,2,2,1,4,3,4,3,3,1,1,Όχι,δε θα το ακολουθούσα,body_building
romanelanceford,Γυναίκα,25,4,3,4,5,1,2,1,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
ryan_spiteri,Γυναίκα,25,4,3,3,5,2,4,2,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
valentinalequeux,Γυναίκα,25,4,3,3,4,4,3,1,4,4,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
stephaniesanzo,Γυναίκα,25,2,3,3,4,2,4,2,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
tavicastro,Γυναίκα,25,2,2,2,4,2,4,3,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
roellywinklaar,Γυναίκα,25,2,3,2,4,3,4,3,3,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
mandysacs,Γυναίκα,25,3,3,3,4,3,4,2,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,athlete
shonda1020,Γυναίκα,25,5,4,4,4,1,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
misslisamorales,Γυναίκα,25,5,4,4,4,4,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
lisafiitt,Γυναίκα,25,4,4,4,4,4,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
larrywheels,Άντρας,24,2,2,2,4,2,5,4,2,2,2,Όχι,έχει ωραίο σώμα,athlete
emilyskyefit,Άντρας,24,4,3,5,5,2,3,1,3,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle,body_building
fitmencook,Άντρας,24,4,4,3,4,2,1,2,4,5,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
thebodycoach,Άντρας,24,3,2,2,1,4,2,1,3,3,1,Όχι,Δεν θα το ακολουθούσα,nutrition
valentinalequeux,Άντρας,24,3,4,4,4,2,3,2,4,4,4,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
theiobot,Άντρας,24,3,2,5,5,5,2,4,3,4,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
brittnebabe,Άντρας,24,2,1,2,4,2,5,4,2,1,1,Όχι,Δεν θα ακολουθούσα,body_building
lisafiitt,Άντρας,25,5,4,4,2,1,2,1,5,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
casssmartin,Γυναίκα,20,1,2,1,3,1,5,3,2,1,1,Όχι,τίποτα από τα παραπάνω φαίνεται ψεύτικη,fitness_model
kaisafit,Γυναίκα,20,5,4,4,4,1,2,2,5,4,1,Ναι,όλα τα παραπάνω,body_building
hannaoeberg,Γυναίκα,20,3,4,3,5,1,4,3,2,2,1,Όχι,δεν βρίσκω κάποιο λόγο να το κάνω ποτέ,fitness_model
ellena_fit,Άντρας,25,4,3,4,5,3,3,1,3,3,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,nutrition
alexandrashappybody,Άντρας,25,2,2,4,2,1,4,1,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,nutrition
soheefit,Άντρας,28,4,4,4,4,1,3,1,4,4,2,Όχι,έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,nutrition
michelle_lewin,Άντρας,25,3,4,3,5,2,4,3,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
laurendrainfit,Άντρας,25,3,4,2,5,5,5,4,4,4,1,Ναι,έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,body_building
yoga_girl,Άντρας,25,4,5,5,4,3,2,1,4,4,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,yoga
alexajeanfitness,Άντρας,25,4,4,4,5,3,2,1,3,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,pilates
shonda1020,Άντρας,25,4,5,4,2,1,3,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,nutrition
lisafiitt,Άντρας,25,3,4,3,3,2,4,4,5,5,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
ainsley,Άντρας,25,4,4,4,3,2,4,1,4,4,2,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,nutrition
brittnebabe,Άντρας,25,2,4,3,4,4,5,3,3,2,2,Όχι,έχει ωραίο σώμα,body_building
ainsley,Άντρας,25,4,3,4,4,2,2,4,4,4,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,nutrition
lisafiitt,Άντρας,25,5,5,5,4,3,4,4,5,5,5,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
thebodycoach,Άντρας,25,2,4,4,1,4,2,3,4,4,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
lifeperiway,Άντρας,25,3,3,4,4,4,2,4,4,4,4,Όχι,Bodybuilding content,athlete
kerispilatesroom,Γυναίκα,29,5,4,5,5,1,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle,pilates
bohobeautifullife,Γυναίκα,29,4,4,4,5,2,2,2,2,2,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
jjweeks_pilates,Γυναίκα,29,2,2,3,1,1,4,3,5,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,pilates
TheBallerina,Γυναίκα,24,4,5,4,3,1,2,1,5,4,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
jadebug98,Γυναίκα,24,3,4,4,4,2,4,1,4,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
officialdavidhallberg,Γυναίκα,24,5,5,5,4,1,3,2,5,5,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
Colleenmwerner,Γυναίκα,24,5,4,5,3,1,1,1,3,1,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
Colleenmwerner,Γυναίκα,24,5,4,5,3,1,1,1,3,1,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
daniil,Γυναίκα,24,5,5,5,3,1,2,1,5,5,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
autumnmiller,Γυναίκα,24,4,4,4,3,5,4,1,4,4,4,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
autumnmiller,Γυναίκα,24,4,4,4,3,5,4,1,4,4,4,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Colleenmwerner,Γυναίκα,24,5,4,5,3,1,1,1,3,1,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
therock,Άντρας,27,4,2,4,4,5,2,2,4,4,2,Ναι,έχει ωραίο lifestyle,body_building
sommerray,Άντρας,27,3,2,3,3,1,5,2,2,2,1,Όχι,έχει ωραίο σώμα,fitness_model
schwarzenegger,Άντρας,27,5,2,5,3,1,2,2,5,5,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
hannahstocking,Άντρας,27,2,2,2,4,4,5,3,2,1,1,Όχι,έχει ωραίο lifestyle,fitness_model
iamyanetgarcia,Άντρας,27,3,2,3,4,4,5,3,3,3,2,Όχι,έχει ωραίο σώμα,fitness_model
anllela_sagra,Άντρας,27,3,2,4,4,5,4,2,5,4,2,Όχι,έχει ωραίο σώμα,body_building
jenselter,Άντρας,27,4,3,3,2,5,4,2,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
tammyhembrow,Άντρας,27,2,2,3,4,2,5,2,3,2,1,Όχι,έχει ωραίο σώμα,fitness_model
amandaeliselee,Άντρας,27,3,2,4,5,2,5,2,3,2,1,Όχι,έχει ωραίο σώμα,fitness_model
nastya_nass_,Άντρας,27,1,2,2,4,1,5,2,4,1,1,Όχι,έχει ωραίο σώμα,dance
ulissesworld,Άντρας,27,4,3,4,2,5,4,2,5,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
simeonpanda,Άντρας,27,2,2,3,4,2,5,2,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
kaigreene,Άντρας,27,4,3,3,2,5,2,2,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
eva_andressa,Άντρας,27,3,2,3,2,4,4,2,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
lazar_angelov_official,Άντρας,27,2,2,3,3,4,4,3,3,2,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
sergiconstance,Άντρας,27,3,2,4,3,2,5,2,4,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
saschafitness,Άντρας,27,4,4,3,4,4,3,2,4,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
andreideiu_,Άντρας,27,1,2,2,3,4,5,3,3,2,1,Όχι,έχει ωραίο lifestyle,body_building
jeff_seid,Άντρας,27,2,1,3,3,4,5,3,3,2,1,Όχι,έχει ωραίο lifestyle,body_building
ronniecoleman8,Άντρας,27,5,4,5,3,2,2,2,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
bradleymartyn,Άντρας,27,1,1,2,4,4,5,4,2,2,1,Όχι,έχει ωραίο lifestyle,body_building
philheath,Άντρας,27,4,3,4,3,5,3,2,5,5,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
sadikhadzovic,Άντρας,27,4,2,4,2,2,3,2,5,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
