timestamp,name,gender,age,συμπαθές,δημιουργικό,ήρεμο/συναισθηματικά ισορροπημένο,εξωστρεφές,συνοχή,εγωκεντρικό / νάρκισσος,ευέξαπτο,αξιόπιστο / σωστός επαγγελματίας,εμπιστευόμουν για θέματα fitness,εμπιστευόμουν για τομέα διαφορετικό,follow,reasons,category
2021/05/01 7:16:24 μ.μ. GMT+3,misslisamorales,Γυναίκα,24,4,3,3,4,2,2,2,3,3,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
2021/05/01 7:17:31 μ.μ. GMT+3,lisafiitt,Γυναίκα,24,3,3,3,4,4,3,3,4,4,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 7:18:58 μ.μ. GMT+3,romanelanceford,Γυναίκα,24,3,3,3,4,3,2,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,body_building
2021/05/01 7:21:13 μ.μ. GMT+3,lifeperiway,Γυναίκα,24,2,2,3,4,4,3,4,4,3,1,Όχι,έχει ωραίο lifestyle,athlete
2021/05/01 7:25:10 μ.μ. GMT+3,missmiafit,Γυναίκα,24,2,3,2,5,3,5,2,3,2,2,Όχι,"τιποτα, δεν μ αρεσει το προφιλ της",body_building
2021/05/01 8:20:17 μ.μ. GMT+3,catmeffan ,Γυναίκα,28,4,2,4,2,4,2,2,4,4,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
2021/05/01 8:35:18 μ.μ. GMT+3,joeyswoll,Άντρας,24,2,3,3,4,1,4,3,4,2,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 8:49:45 μ.μ. GMT+3,lamise,Γυναίκα,28,5,2,4,3,4,2,2,4,4,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
2021/05/01 8:56:48 μ.μ. GMT+3,chelseasyoga,Γυναίκα,28,2,1,4,2,1,2,2,5,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
2021/05/01 9:06:16 μ.μ. GMT+3,joshkrameryoga,Γυναίκα,28,3,5,4,1,1,4,2,5,5,2,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
2021/05/01 9:16:13 μ.μ. GMT+3,ryan_spiteri,Άντρας,24,4,4,4,3,1,3,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 9:17:48 μ.μ. GMT+3,lindseyvonn,Άντρας,24,5,3,4,5,4,5,1,3,3,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,athlete
2021/05/01 9:28:55 μ.μ. GMT+3,ainsley,Άντρας,24,5,4,4,5,3,4,1,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle,nutrition
2021/05/01 9:30:10 μ.μ. GMT+3,valentinalequeux,Άντρας,24,5,4,4,4,3,4,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 9:34:52 μ.μ. GMT+3,stephaniesanzo ,Άντρας,24,3,3,4,3,1,4,4,4,3,1,Όχι,έχει ωραίο σώμα,body_building
2021/05/01 9:50:33 μ.μ. GMT+3,jamie.bisset,Άντρας,24,4,5,4,4,2,3,3,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,
2021/05/01 9:51:59 μ.μ. GMT+3,larrywheels,Άντρας,24,2,3,2,5,4,4,4,4,3,1,Όχι,έχει ωραίο σώμα,athlete
2021/05/01 9:53:04 μ.μ. GMT+3,laurensimpson,Άντρας,24,5,5,4,5,2,5,1,4,4,3,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
2021/05/01 9:54:23 μ.μ. GMT+3,johannesbartl,Άντρας,24,3,2,5,5,5,3,1,4,4,1,Ναι,έχει ωραίο lifestyle,body_building
2021/05/01 9:55:38 μ.μ. GMT+3,lyzabethlopez ,Άντρας,24,5,4,5,4,3,5,1,4,5,1,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 9:56:13 μ.μ. GMT+3,melissawoodhealth,Γυναίκα,28,2,1,3,5,4,5,2,2,3,1,Όχι,έχει ωραίο σώμα,yoga
2021/05/01 9:56:56 μ.μ. GMT+3,brittnebabe,Άντρας,24,4,4,3,5,5,5,1,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
2021/05/01 9:58:14 μ.μ. GMT+3,yanitayancheva ,Άντρας,24,5,5,5,5,4,5,1,4,4,3,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 10:09:54 μ.μ. GMT+3,bohobeautifullife,Γυναίκα,28,3,4,4,5,4,4,3,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
2021/05/01 10:13:55 μ.μ. GMT+3,jennyredfordpilates,Γυναίκα,28,4,2,4,2,2,2,2,5,5,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
2021/05/01 10:18:44 μ.μ. GMT+3,wundabarpilates,Γυναίκα,28,3,1,2,4,3,3,2,2,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
2021/05/02 11:48:03 π.μ. GMT+3,yoga_girl,Άντρας,25,4,3,5,5,2,1,4,3,4,4,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,yoga
2021/05/02 11:53:57 π.μ. GMT+3,Brittnebaby,Άντρας,25,3,4,3,2,3,4,3,4,4,2,Όχι,έχει ωραίο σώμα,
2021/05/02 11:56:31 π.μ. GMT+3,tavicastro,Άντρας,25,3,5,4,5,2,3,3,3,5,2,Όχι,έχει ωραίο lifestyle,body_building
2021/05/02 11:59:27 π.μ. GMT+3,theiobot,Άντρας,25,4,3,5,5,5,1,4,3,1,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
2021/05/02 12:01:16 μ.μ. GMT+3,Jamie.bisset,Άντρας,25,4,5,3,1,5,4,4,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,
2021/05/02 12:03:43 μ.μ. GMT+3,dustinpoirier,Άντρας,25,2,2,3,4,4,3,3,3,3,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,athlete
